id,question,answer
0,Company name,AMETEK INC
1,Company year,2015
2,CIK,1037868
3,When was the restructuring plan announced,During the first quarter of 2015 and the fourth quarter of 2015.
4,What are the management stated reasons (purpose) of restructuring,"Reductions in workforce in response to the impact of the weak global economy on certain of the Company’s businesses, as well as the effects of a continued strong U.S. dollar."
5,What savings does the company anticipate,"Expected annualized cash savings of approximately $90 million, with $40 million realized in 2015 and approximately $75 million expected to be realized in 2016."
6,What savings did the company accomplish in relation to restructuring performed in prior years,N/A
7,How much total restructuring charges were recorded,$36 million
8,"What is the breakdown (components) of the charges? (severance, lease termination)",N/A
9,How much reduction in employees? (either as a number of employees reduced or as a percentage of the workforce),N/A
10,"Were any facilities closed? If so, which ones? (List countries, states, or any other locations)",N/A
11,Was there a cost reduction? Yes or No.,Yes
12,"Did they mention when they want to complete the restructuring? If so, what was the timeline provided","First half of 2016 for the first quarter restructuring actions, and second half of 2017 for the fourth quarter restructuring actions."
